model,INVENTORY_ID,PLOT_ID,AGE,MUNICIPALITY,SPECIE_IFN_ID,BASAL_AREA,DENSITY,MEAN_DBH,MEAN_H,QM_DBH,DOMINANT_H
Ppin_gal_coast,IFN3,36_173_A_1_IFN3,90,17,26,3.261061,15.278874536822,51.4833333333333,14.8333333333333,52.130133640087,14.8333333333333
Ppin_gal_coast,IFN3,36_178_A_1_IFN3,9,17,26,13.7376930277778,622.04825313339,13.4962133272686,8.00625426427109,16.7687204915253,13.6806775407779
Ppin_gal_coast,IFN3,36_186_A_1_IFN3,30,17,26,12.8106840277778,227.909878507594,25.9306331471136,13.7098075729361,26.7522087301758,16.4048913043478
Ppin_gal_coast,IFN3,36_217_A_6C_IFN3,9,17,26,7.399125,1273.23954473516,8.565,5.35,8.6018166685881,6
Ppin_gal_coast,IFN3,36_277_A_6C_IFN3,1,20,26,0.680625,127.323954473516,8.25,5,8.25,5
Ppin_gal_coast,IFN3,36_280_A_4_IFN3,3,20,26,1.618421,10.1859163578813,44.975,13,44.9780640979578,13
Ppin_gal_coast,IFN3,36_441_A_1_IFN3,35,60,26,8.385264,125.34335962615,27.1917607223476,15.367381489842,29.1852060609767,15.367381489842
Ppin_gal_coast,IFN3,36_478_A_1_IFN3,2,7,26,0.9409,127.323954473516,9.7,4,9.7,4
Ppin_gal_coast,IFN3,36_766_A_1_IFN3,10,28,26,0.585225,127.323954473516,7.65,6.5,7.65,6.5
Ppin_gal_coast,IFN3,36_769_A_4_IFN3,15,38,26,3.52271875,350.14087480217,11.0318181818182,5.90909090909091,11.3180768523793,6.14285714285714
Ppin_gal_coast,IFN3,36_802_A_4_IFN3,5,12,26,1.132096,5.09295817894065,53.2,10.5,53.2,10.5
Ppin_gal_inlnd,IFN2,24_1097_IFN2,15,210,26,0.40640625,31.8309886183791,12.75,5,12.75,5
Ppin_gal_inlnd,IFN2,24_1128_IFN2,19,210,26,59.3084305555556,1068.10650697228,25.7496688741722,11.5099337748344,26.5892443274961,13.5
Ppin_gal_inlnd,IFN2,24_1149_IFN2,15,23,26,17.2503416666667,1248.48210914309,12.3484419263456,6.02266288951841,13.2636406882103,7.98275862068965
Ppin_gal_inlnd,IFN2,24_1160_IFN2,30,123,26,25.8670888888889,636.619772367581,22.3761111111111,9.55555555555556,22.7451484448394,10.375
Ppin_gal_inlnd,IFN2,24_1173_IFN2,30,15,26,50.302875,1885.10188151067,18.0465290806754,9.22514071294559,18.43249180717,10.1875
Ppin_gal_inlnd,IFN2,24_1216_IFN2,25,133,26,54.37694375,2939.06128243033,14.669614921781,8.32731648616125,15.3482242414105,10.5625
Ppin_gal_inlnd,IFN2,24_1441_IFN2,30,229,26,33.1749756944444,1082.25361302489,17.9887254901961,11.1519607843137,19.7558556306566,12.5
Ppin_gal_inlnd,IFN2,24_1587_IFN2,4,47,26,8.24204722222222,498.685488354605,12.8014184397163,6.43262411347518,14.5063864634495,8.93939393939394
Ppin_gal_inlnd,IFN2,24_1597_IFN2,30,47,26,26.5080905555556,721.07799550168,20.1809299587993,10.0451245830881,21.6348137450683,11.2046632124352
Ppin_gal_inlnd,IFN2,24_604_IFN2,5,72,26,0.51480625,31.8309886183791,14.35,7.5,14.35,7.5
Ppin_gal_inlnd,IFN2,24_679_IFN2,30,123,26,20.0593090277778,481.001605788839,22.3797794117647,9.10661764705882,23.0430403714185,10.4375
Ppin_gal_inlnd,IFN2,24_680_IFN2,25,92,26,17.5968465277778,1121.15815466957,13.5837539432177,6.18769716088328,14.1364070658658,8.05172413793103
Ppin_gal_inlnd,IFN2,24_706_IFN2,30,76,26,39.0177430555556,1987.66840039212,15.1044483985765,8.24822064056939,15.8093554783416,10.75
Ppin_gal_inlnd,IFN2,24_744_IFN2,35,133,26,36.8012270833333,1372.26928710345,17.7998711340206,8.12628865979381,18.47849247851,9.9375
Ppin_gal_inlnd,IFN2,24_751_IFN2,25,61,26,25.6726888888889,1612.77008999787,13.6574561403509,6.77850877192982,14.2365418134819,8.98484848484849
Ppin_gal_inlnd,IFN2,24_796_IFN2,25,151,26,27.9387159722222,1453.61514690598,15.0127737226277,7.92579075425791,15.6434868251506,10.2121212121212
Ppin_gal_inlnd,IFN2,24_831_IFN2,20,199,26,27.92628125,3087.60589598277,10.4561855670103,5.99484536082474,10.7312591376973,7.625
Ppin_gal_inlnd,IFN2,24_836_IFN2,15,79,26,3.15265069444444,332.456992236404,10.3367021276596,3.93085106382979,10.9881669913497,3.88793103448276
Ppin_gal_inlnd,IFN2,24_847_IFN2,20,68,26,32.7316347222222,2129.13946091824,13.4506644518272,7.59551495016611,13.9906165160203,9.65714285714286
Ppin_gal_inlnd,IFN2,24_924_IFN2,30,52,26,44.5328604166667,1400.56349920868,19.4872474747475,10.8775252525253,20.1207401853426,11.75
Ppin_gal_inlnd,IFN2,24_927_IFN2,25,4,26,20.15370625,1336.90152197192,13.2035714285714,6.45238095238095,13.8542433760855,8
Ppin_gal_inlnd,IFN2,27_1077_IFN2,1,1,26,15.4205125,279.405344539105,25.9012658227848,11.8860759493671,26.508619329082,13.875
Ppin_gal_inlnd,IFN2,27_1095_IFN2,1,44,26,31.5200944444444,855.899916183082,21.2380165289256,11.6900826446281,21.6539596134783,13.3125
Ppin_gal_inlnd,IFN2,27_1131_IFN2,1,53,26,8.97031319444444,378.435086907396,15.8322429906542,9.66822429906542,17.3725337791165,10.5285714285714
Ppin_gal_inlnd,IFN2,27_118_IFN2,1,38,26,2.93280094444444,82.9020414683117,19.8150170648464,12.820819112628,21.2233404340808,12.820819112628
Ppin_gal_inlnd,IFN2,27_1203_IFN2,23,18,26,19.4099375,1464.22547644544,12.6565217391304,8.16086956521739,12.991615188936,10.225
Ppin_gal_inlnd,IFN2,27_1221_IFN2,23,18,26,18.27401875,1174.20980236687,13.6305722891566,7.7710843373494,14.0766477025664,10.5857142857143
Ppin_gal_inlnd,IFN2,27_1222_IFN2,26,18,26,33.5386361111111,1389.95316966922,16.6223918575064,9.37531806615776,17.5278106899492,11.0625
Ppin_gal_inlnd,IFN2,27_1741_IFN2,5,40,26,0.798044444444444,14.1471060526129,26.8,15,26.8,15
Ppin_gal_inlnd,IFN2,27_1881_IFN2,20,32,26,42.3428180555556,2054.86715414203,15.5092943201377,10.2977624784854,16.1976892701901,12.875
Ppin_gal_inlnd,IFN2,27_1927_IFN2,12,28,26,35.8145722222222,1421.7841582876,16.9878109452736,12.9651741293532,17.9088668663824,16.9375
Ppin_gal_inlnd,IFN2,27_1935_IFN2,15,14,26,22.03541875,1605.69653697157,12.9650881057269,8.79955947136564,13.2185548654638,10.1290322580645
Ppin_gal_inlnd,IFN2,27_1938_IFN2,2,14,26,8.34724305555556,537.590029999291,13.3953947368421,9.33552631578947,14.060507168737,11.4857142857143
Ppin_gal_inlnd,IFN2,27_2005_IFN2,5,36,26,0.771469444444445,14.1471060526129,26.35,9.5,26.35,9.5
Ppin_gal_inlnd,IFN2,27_2011_IFN2,8,26,26,3.56705277777778,155.618166578742,14.5409090909091,7.59090909090909,17.0836112320338,7.59090909090909
Ppin_gal_inlnd,IFN2,27_2058_IFN2,5,36,26,0.697225,127.323954473516,8.35,3.5,8.35,3.5
Ppin_gal_inlnd,IFN2,27_2088_IFN2,4,26,26,1.3456,14.1471060526129,34.8,15,34.8,15
